,id,year_birth,education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,mnt_total_sin_vino,mntwines_sin_cero,mnt_wines_box
14,2569,1987,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,43,3.0,1.2398505612761228
15,2114,1946,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,309,1006.0,15.975492134704236
16,9736,1980,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,43,53.0,6.28321429426158
17,4939,1946,Graduation,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,233,84.0,7.424275230965478
18,6565,1949,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,770,1012.0,16.001966545519807
19,2278,1985,2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,129,4.0,1.6161077062721738
20,9360,1982,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,230,86.0,7.485680103106322
21,5376,1979,Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,1729,1.0,0.0
22,1993,1949,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,105,867.0,15.324404534606662
23,4047,1954,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,160,384.0,12.10662641585141
24,1409,1951,Graduation,Together,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,174,270.0,10.880924906446502
25,7892,1969,Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,69,6.0,2.1877070981936266
26,2404,1976,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,84,173.0,9.459458016185025
27,5255,1986,Graduation,Single,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,632,5.0,1.9244818756988418
28,9422,1989,Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,95,36.0,5.408765242582039
29,1966,1965,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,988,684.0,14.32860486981564
30,6864,1989,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,22,8.0,2.6247053095507065
31,3033,1963,Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,206,112.0,8.196846095005998
32,5710,1970,Graduation,Together,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,10,110.0,8.14703596909216
33,7373,1952,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,206,96.0,7.776911475876402
34,8755,1946,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,714,482.0,12.94856729791655
35,10738,1951,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,25,40.0,5.639783201220357
36,4339,1970,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,211,702.0,14.4352385766893
37,10755,1976,2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,75,6.0,2.1877070981936266
38,8595,1973,Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,12,55.0,6.370855697644155
39,2968,1943,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,465,437.0,12.580455435868718
40,8601,1980,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,974,421.0,12.442395540729269
41,503,1985,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,40,13.0,3.426646026793662
42,8430,1957,Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,13,9.0,2.811601860188697
43,7281,1959,PhD,Single,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,105,81.0,7.329982268134915
44,2139,1975,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,28,3.0,1.2398505612761228
45,1371,1976,Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,861,123.0,8.458975310666363
46,9909,1996,2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,119,3.0,1.2398505612761228
47,7286,1968,Graduation,Together,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,42,13.0,3.426646026793662
48,7244,1951,Graduation,Single,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,76,48.0,6.052177081825573
49,6566,1954,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,493,826.0,15.116762375902086
50,8614,1957,Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,262,245.0,10.558885765631256
51,4114,1964,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,1043,650.0,14.121031633831045
52,1331,1977,Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,60,12.0,3.2885808404328944
53,2225,1977,Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1107,510.0,13.164209707961794
54,9381,1978,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,278,328.0,11.546552335125158
55,6260,1955,Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,973,984.0,15.877347367355512
56,10383,1966,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,798,295.0,11.18036877395641
57,7437,1988,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,16,13.0,3.426646026793662
58,8557,1982,Graduation,Single,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,35,11.0,3.141177513258352
59,8375,1968,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,71,447.0,12.664742236349094
60,6853,1982,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,726,712.0,14.493556120823486
61,3076,1975,Graduation,Together,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,160,452.0,12.70633234500738
62,1012,1952,Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,361,523.0,13.261185587444896
63,6518,1951,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,60,546.0,13.428223026527622
64,4137,1948,Graduation,Together,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,678,398.0,12.236540567775666
65,8082,1971,Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,33,1.0,0.0
66,1386,1967,Graduation,Together,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,1,10.0,2.9828618582312485
67,9369,1979,2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,586,688.0,14.352489742330256
68,4477,1958,Graduation,Together,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,406,247.0,10.585573980559637
69,1357,1970,Graduation,Together,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,706,856.0,15.269464643899578
70,1402,1954,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,757,496.0,13.057581803693095
71,10629,1973,2n Cycle,Married,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,84,25.0,4.64860867107991
72,6312,1959,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,605,258.0,10.729403409638383
73,8132,1975,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,96,565.0,13.562098028335644
74,1050,1952,Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,51,14.0,3.55661921042866
75,5846,1977,Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,11,2.0,0.7477012808066248
76,1859,1972,Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,1169,721.0,14.545495345041804
77,7503,1976,Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1177,1032.0,16.089334971437918
78,10401,1976,2n Cycle,Together,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,17,1.0,0.0
79,1618,1965,Graduation,Together,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,115,577.0,13.644842159450958
80,3332,1985,Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,101,64.0,6.736820394085113
81,2261,1969,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,12,4.0,1.6161077062721738
82,5346,1973,2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,54,25.0,4.64860867107991
83,4119,1963,Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,206,112.0,8.196846095005998
84,535,1987,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,615,163.0,9.27947007962792
85,5268,1960,Graduation,Married,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,39,17.0,3.907164476627945
86,273,1970,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,21,130.0,8.616353319303226
87,4452,1957,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,80,292.0,11.145511525439897
88,8504,1973,Graduation,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,1016,350.0,11.774912842454249
89,771,1967,Graduation,Together,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,59,135.0,8.724744614284834
90,8996,1957,PhD,Married,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,373,230.0,10.353081495169452
91,9235,1957,Graduation,Single,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,11,7.0,2.4184891682868024
92,5798,1973,Master,Together,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,540,445.0,12.648004015773294
93,11178,1972,Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,17,15.0,3.6795049699090994
94,2230,1970,PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,16,27.0,4.8041017813813705
95,7516,1983,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,40,5.0,1.9244818756988418
96,7247,1960,Graduation,Widow,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,101,505.0,13.126394823911017
97,11100,1972,Graduation,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,12,51.0,6.192940097231403
98,4646,1951,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,771,207.0,10.016054717538758
99,3037,1983,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,275,135.0,8.724744614284834
100,1473,1960,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,19,53.0,6.28321429426158
101,1016,1959,PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,14,41.0,5.694689661555481
102,4518,1979,Graduation,Together,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,783,386.0,12.125410612630523
103,9370,1945,PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,558,562.0,13.54119692816526
104,8908,1959,Graduation,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,880,217.0,10.166021792185123
105,8373,1979,Basic,Together,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,28,1.0,0.0
106,7533,1964,Graduation,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,43,144.0,8.912160020746345
107,2683,1969,Graduation,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,615,295.0,11.18036877395641
108,3629,1978,Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,69,76.0,7.166556190957035
109,10991,1960,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,396,454.0,12.72286742081618
110,5077,1979,Graduation,Together,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,544,425.0,12.477291153139477
111,7431,1991,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,488,1332.0,17.263013690417136
112,3267,1963,Master,Together,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,81,527.0,13.29064386775367
113,999,1991,Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,240,490.0,13.011160606085411
114,9215,1980,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,173,378.0,12.049809726368016
115,2286,1962,Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,50,64.0,6.736820394085113
116,1592,1970,Graduation,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1177,547.0,13.435359417268822
117,367,1978,2n Cycle,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,530,47.0,6.003723059097446
118,5234,1967,2n Cycle,Together,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,69,12.0,3.2885808404328944
119,9862,1969,Graduation,Together,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,32,1.0,0.0
120,9805,1953,Master,Together,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,340,320.0,11.460530608053213
121,6205,1967,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,46,34.0,5.28561879406011
122,8442,1985,Master,Married,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,21,9.0,2.811601860188697
123,7386,1976,Graduation,Divorced,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,26,17.0,3.907164476627945
124,7215,1983,Graduation,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,413,722.0,14.551234935920203
125,1491,1965,2n Cycle,Together,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,397,162.0,9.260999122599614
126,11071,1984,Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,1473,450.0,12.689739801986835
127,3381,1953,Master,Married,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,20,70.0,6.958918320353586
128,8268,1961,PhD,Married,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,52,352.0,11.795109378024295
129,11051,1956,PhD,Together,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,169,492.0,13.02668361878943
130,8026,1952,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,343,120.0,8.389370712301217
131,433,1958,Master,Alone,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,98,534.0,13.341776660320814
132,9597,1969,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,489,236.0,10.436631049374917
133,1295,1963,Graduation,Married,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,494,231.0,10.367124176424765
134,5290,1964,PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,59,220.0,10.209953875086104
135,1685,1967,PhD,Together,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,686,796.0,14.959647585168343
136,5342,1976,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,29,1e-08,-4.544805124254636
137,9579,1959,PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,53,53.0,6.28321429426158
138,7660,1973,PhD,Alone,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,34,15.0,3.6795049699090994
139,1461,1965,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,21,17.0,3.907164476627945
140,821,1992,Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,1115,962.0,15.777466700354063
141,11084,1976,Master,Together,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,315,738.0,14.642231444757169
142,8690,1962,Graduation,Married,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,986,399.0,12.24568225047641
143,2937,1974,PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,257,614.0,13.89175176863807
144,9701,1988,Graduation,Together,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,280,32.0,5.15665464992511
145,9949,1976,Graduation,Married,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,279,598.0,13.786452778024872
146,10837,1975,Graduation,Married,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,66,2.0,0.7477012808066248
147,3120,1981,Graduation,Together,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,16,6.0,2.1877070981936266
148,5885,1973,2n Cycle,Married,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,138,73.0,7.064410442533619
149,4050,1966,Master,Married,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,85,42.0,5.7485559152302335
150,3830,1953,Master,Married,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,164,295.0,11.18036877395641
151,7987,1969,Graduation,Married,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,114,346.0,11.734246754975992
152,7798,1972,2n Cycle,Together,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,196,233.0,10.39506714931303
153,92,1988,Graduation,Alone,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,84,5.0,1.9244818756988418
154,7055,1952,PhD,Together,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,133,888.0,15.427789749553217
155,10240,1949,Graduation,Together,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,384,997.0,15.935547418914764
156,3025,1958,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,94,212.0,10.09173164962158
157,9283,1978,Graduation,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,10,8.0,2.6247053095507065
158,9970,1977,Graduation,Together,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,120,42.0,5.7485559152302335
159,2730,1955,Graduation,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,695,536.0,13.35628945520104
160,2795,1958,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,8,5.0,1.9244818756988418
161,9260,1945,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,357,1349.0,17.32304659244974
162,8182,1984,Graduation,Married,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,68,53.0,6.28321429426158
163,10095,1975,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,292,1001.0,15.953335384608696
164,8475,1973,PhD,Married,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,1588,20.0,4.212101396812377
165,4370,1966,Graduation,Together,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,70,18.0,4.013194043644647
166,10573,1953,Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,296,125.0,8.50464228252578
167,3712,1959,Graduation,Divorced,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,47,212.0,10.09173164962158
168,6637,1988,Graduation,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,840,277.0,10.96688895122465
169,3152,1957,Graduation,Together,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,74,15.0,3.6795049699090994
170,5610,1965,Graduation,Together,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,29,7.0,2.4184891682868024
171,6460,1982,Graduation,Married,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,45,12.0,3.2885808404328944
172,1349,1970,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,63,85.0,7.455119279534195
173,1880,1959,PhD,Together,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,12,81.0,7.329982268134915
174,641,1967,Graduation,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,60,59.0,6.538897752269748
175,8717,1975,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,686,1149.0,16.575407207450834
176,10314,1948,PhD,Married,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,471,847.0,15.224100559020131
177,10854,1970,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,16,29.0,4.9508101046881015
178,10492,1959,Graduation,Together,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,8,2.0,0.7477012808066248
179,6935,1951,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,771,207.0,10.016054717538758
180,7698,1976,PhD,Married,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,39,152.0,9.071190359189723
181,3559,1988,2n Cycle,Married,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,45,12.0,3.2885808404328944
182,10562,1946,Master,Married,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,413,620.0,13.930684464333389
183,10796,1984,Master,Married,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,19,47.0,6.003723059097446
184,2563,1961,Basic,Married,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,42,1.0,0.0
185,3518,1983,Graduation,Married,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,40,10.0,2.9828618582312485
186,5823,1970,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,4,35.0,5.347881820827726
187,3934,1966,Graduation,Married,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,252,356.0,11.83523401977671
188,6982,1976,Graduation,Married,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,798,783.0,14.890119425461759
189,6431,1964,PhD,Married,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,26,42.0,5.7485559152302335
190,9733,1978,Basic,Together,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,79,1.0,0.0
191,5602,1989,PhD,Together,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,816,466.0,12.820895933985152
192,7829,1900,2n Cycle,Divorced,36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,50,15.0,3.6795049699090994
193,1324,1988,Graduation,Married,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,68,23.0,4.483034013635515
194,326,1973,Graduation,Married,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,80,235.0,10.422822683089166
195,7224,1977,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,21,10.0,2.9828618582312485
196,6999,1980,Master,Married,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,178,656.0,14.158271112891995
197,9938,1954,Graduation,Married,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,1081,519.0,13.23155011629741
198,6422,1954,Graduation,Married,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,926,344.0,11.713775323957417
199,3182,1973,PhD,Single,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,167,96.0,7.776911475876402
200,7300,1952,Graduation,Divorced,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,87,448.0,12.67308933528211
201,10424,1968,Graduation,Single,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,1030,265.0,10.818445823217877
202,8727,1978,Graduation,Divorced,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,563,587.0,13.712771058592256
203,2798,1977,PhD,Together,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,477,763.0,14.781364320618298
204,1030,1965,PhD,Single,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,16,22.0,4.395974737150925
205,624,1984,Master,Single,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,29,6.0,2.1877070981936266
206,5176,1988,Graduation,Together,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,46,7.0,2.4184891682868024
207,5552,1963,Master,Divorced,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,212,81.0,7.329982268134915
208,868,1966,Graduation,Married,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,11,54.0,6.327353158681416
209,380,1954,Graduation,Divorced,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,634,1170.0,16.658499095940698
210,2677,1956,Graduation,Together,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,169,72.0,7.029630456353589
211,6521,1954,Graduation,Together,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,488,613.0,13.885234013020154
212,6927,1968,PhD,Married,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,40,224.0,10.267805097903535
213,2877,1974,Master,Together,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,131,410.0,12.345073575163706
214,0,1985,Graduation,Married,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,959,239.0,10.477782713373365
215,1584,1977,Graduation,Married,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,311,171.0,9.424125518972811
216,7264,1978,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,5,12.0,3.2885808404328944
